ID,sign,category,date,horoscope,horoscope_cleaned
54,aries,general,20200809,"Changes taking place in your home could cause some temporary frustration tense nerves on the part of family members, Aries. Perhaps you're moving or refurnishing or trying to do a thorough cleaning and everyone is getting into everyone else's way. Just try to get the job done as quickly as possible. Once it's done, tempers will subside, and all will be well.",changes taking place home cause temporary frustration tense nerves part family members aries perhaps you're moving refurnishing trying thorough cleaning everyone getting everyone else's job done quickly possible once done tempers subside well
55,aries,general,20200810,"Today a deep concern for others' feelings could have you lending a sympathetic ear to those in need of some understanding. It's more important to listen than talk now, Aries, even though your practicality might want to express itself. Your affairs should go smoothly, bringing you a lot of satisfaction. Don't be surprised if you shed a few tears of joy at some point.",deep concern others' feelings lending sympathetic ear those understanding important listen talk aries even though practicality express itself affairs should smoothly bringing lot satisfaction surprised shed few tears joy point
56,aries,general,20200811,"Today you could be hit with some exciting news, Aries. This could involve new people or equipment coming onto the scene or an entirely new project or course of action that you'd never have dreamed of. This is likely to be a lucky break for you, as it probably suits your skills and talents nearly perfectly. Make the most of this opportunity. It could make a big difference to you.",hit exciting news aries involve equipment coming onto scene entirely project course action you'd never dreamed likely lucky break probably suits skills talents nearly perfectly most opportunity big difference
57,aries,general,20200812,"Does your job have a good profit-sharing plan, Aries, or do you own company stock? If so, expect to hear that its value has skyrocketed beyond what anyone had hoped. This is worthy of celebration. You and your colleagues should do just that. A romantic interest might offer congratulations. This trend is likely to continue. You might be a millionaire someday.",does job plan aries own company stock expect hear its value has beyond anyone had hoped worthy celebration colleagues should romantic interest offer congratulations trend likely continue millionaire someday
58,aries,general,20200813,"A sum of money above and beyond your usual income could come your way. This could be a bonus, settlement, or even a gift of some kind. You could put it to work making changes in your home, perhaps repairs, perhaps remodeling or redecorating. This may seem like a daunting prospect, but you'll have the energy and enthusiasm in addition to the money. Go to it.",sum money above beyond usual income come bonus settlement even gift kind put making changes home perhaps repairs perhaps remodeling redecorating seem daunting prospect you'll enthusiasm addition money
59,aries,general,20200814,"You may feel like you're being tested in some way and must prove that what you're doing is valid and correct, Aries. Fortunately, you should feel an emotional boost that will help you be confident about who you are, regardless of what other people think. The biggest tests are those that you give yourself. You are your toughest critic. Take concerted steps to go easier on yourself.",you're being tested must prove you're doing valid correct aries fortunately should emotional boost help confident who regardless think biggest tests those give toughest critic concerted steps easier
60,aries,general,20200815,"If your lifestyle is very different from others, resist feeling self-conscious about it today, Aries. Remember that you chose your life for specific reasons. Even if you're considering a change, there's no need to feel ashamed or embarrassed about where you are now. Everyone has to make his or her own way. If it conforms to the norm, that's fine. If it doesn't, that's fine, too.",lifestyle different resist feeling selfconscious aries remember chose specific reasons even you're considering change there's no ashamed embarrassed where everyone has his her own norm that's fine doesn't that's fine too
61,aries,general,20200816,"Take charge of your health today, Aries. You'll likely wake up feeling energetic. Take advantage of the energy boost from the planetary movements to actively do things that maintain your sense of well-being. Consider emotional and spiritual aspects of your health. Sit outside in the fresh air. Take a walk, do some gardening, engage in something creative and physical.",charge health aries you'll likely wake feeling energetic advantage boost movements actively maintain sense wellbeing consider emotional spiritual aspects health sit outside fresh air walk gardening engage creative physical
62,aries,general,20200817,"When was the last time you used a pen and paper, Aries? The keyboard has all but replaced these wonderful tools. In the same way that walking provides more than fresh air, the kinesthetic value of writing's rhythmic motion is far more soothing and healing than people realize. Moving your hand across the page can feel good. It unlocks places within that typing can't access. Try it.",was last used pen paper aries keyboard has replaced these wonderful tools same walking provides fresh air value rhythmic motion far soothing healing realize moving hand across page unlocks places within can't access
63,aries,general,20200818,"This is an excellent day to express your natural creativity, Aries. The arts will more than likely be very important to you. You may find that nothing brings you more pleasure on days like this. Consider putting this to good use by painting, sculpting, or doing crafts. You'll find the perfect thing for you is engaging in art activities with a focus on giving.",excellent express natural creativity aries arts likely important nothing brings pleasure days consider putting use painting sculpting doing crafts you'll perfect thing engaging art activities focus giving
64,aries,general,20200819,"Are you satisfied with your current career, Aries? If not, start by making a plan. There are specific steps that you can take to give you the greatest advantage in the opportunities available. Consider visiting online career sites. There are wonderful articles and tips for the taking. Don't settle for less than you deserve. See what's out there and find a more fulfilling career.",satisfied current career aries start making plan specific steps give greatest advantage opportunities available consider visiting online career sites wonderful articles tips taking settle less deserve see what's fulfilling career
65,aries,general,20200820,"You might feel more energetic than you have in a long time, Aries. A powerful energy that increases your mental acuity and physical strength can really help you finish anything that's pending. If you managed to accomplish so much already that you have time to spare, it's fine to help others with their load. Be sure to put yours first, though.",energetic long aries powerful increases mental acuity physical strength really help finish anything that's pending managed accomplish already spare fine help their load sure put yours first though
66,aries,general,20200821,"Try not to lose sight of your own projects or desires, Aries. There's a great deal of power and manipulative energy in the air today that could throw you off course if you aren't careful. Have confidence in yourself and don't back down if things get too confrontational. Take control of the car you're driving instead of just coasting haphazardly down the hill.",lose sight own projects desires aries there's great deal power manipulative air throw off course aren't careful confidence back down too confrontational control car you're driving instead haphazardly down hill
67,aries,general,20200822,"There's a fiery tone to the day that can't be ignored, Aries. You may find that adjustments need to be made in your own plan of attack in order to get on the same page with other people. Don't worry if things don't go according to your plans. In fact, the best route to take is the one that wasn't even planned. Do something that you've never done before.",there's fiery tone can't ignored aries adjustments made own plan attack order same page worry according plans fact best route wasn't even planned you've never done before
68,aries,general,20200823,"Your intuition is likely to be very keen today, Aries. Accurate psychic insights could come to you thick and fast. Your imagination is also strong, and you might come up with ideas to enrich your home, work, or anything else on your mind. Don't be surprised if you seem to know what others will say before they even think of it. Write down any premonitions to verify later.",intuition likely keen aries accurate psychic insights come thick fast imagination also strong come ideas enrich home anything else mind surprised seem know say before even think write down any premonitions verify later
69,aries,general,20200824,"Today you should be looking especially good and feeling particularly passionate and sensual, Aries. This is a great day to buy new clothes online, as your fashion sense is probably right on target. Racy novels and romantic movies may seem more appealing than usual. This is a great day to be alone with a love partner, if possible. Try to do this early in the day so there won't be any conflicts.",should looking especially feeling particularly passionate sensual aries great buy clothes online fashion sense probably right target racy novels romantic movies seem appealing usual great alone partner possible early won't any conflicts
70,aries,general,20200825,"You may run into a great deal of frustration if you try to fight the current circumstances, Aries. The key is to take whatever situation you're in and make the best of it. Whining and moping about your position won't make things better. You have great gifts to be proud of and thankful for, so don't throw them away by thinking that they have no outlet. Create your own reality.",run great deal frustration fight current circumstances aries key whatever situation you're best whining moping position won't better great gifts proud thankful throw away thinking no outlet create own reality
71,aries,general,20200826,"The key for you today is to not take things too seriously, Aries. You'll find that the more you deliberate over a decision, the harder it will be for you to make. You may miss your opportunity while you're weighing the facts. Be spontaneous. Try something you've never tried before. Vary your experiences so things don't get boring. Variety is the spice of life.",key too seriously aries you'll deliberate over decision harder miss opportunity while you're weighing facts spontaneous you've never tried before vary experiences boring variety spice
72,aries,general,20200827,"All things domestic are highlighted, Aries. It could be that you've finally called the plumber or set out to do those household repairs yourself. New people are likely to come into your life. In fact, they may try to finagle an invitation for dinner, if possible. All you can expect today is the unexpected. Have some extra food on hand and see what happens.",domestic highlighted aries you've finally called set those household repairs likely come fact invitation dinner possible expect unexpected extra food hand see happens
73,aries,general,20200828,"Travel of any kind might be virtually impossible today, Aries. Airports could be jammed, flights delayed, and planes plagued with mechanical problems. If you're traveling by car, expect road construction and backed-up traffic. Stay home if you can. If you must travel, take plenty of music and books to keep you occupied while you're waiting. You're likely to go nuts otherwise.",travel any kind virtually impossible aries jammed flights delayed planes plagued mechanical problems you're traveling car expect road construction traffic stay home must travel plenty music books keep occupied while you're waiting you're likely nuts otherwise
